12470709  1453.      23.     23.     359.5    5.4    5.0  0.269  0.024  0.023  2.588 0.063 0.047 2455067.     26.     26.   0.0236  0.0013  0.0012   5.19   0.09   0.09  
12602250   586.08     0.55    0.55   266.2    1.3    1.4  0.416  0.0069 0.0069 2.789 0.015 0.016 2455357.1     1.5     1.7  0.05896 0.00088 0.00092  9.006  0.047  0.045 
 1294670   410.07     0.52    0.54   350.8    4.3    4.2  0.4    0.019  0.019  3.734 0.040 0.039 2455179.5     2.7     2.9  0.2757  0.0100  0.0099  17.1    0.21   0.21  
 1724961    74.339    0.043   0.042  100.1    2.2    2.1  0.18   0.037  0.040  3.16  0.26  0.23  2455023.7     3.1     2.7  0.195   0.013   0.012   28.89   0.49   0.47  
 2168333   349.75     0.45    0.45   260.9    6.4    6.4  0.71   0.019  0.020  2.453 0.029 0.027 2455066.8     1.7     1.7  0.156   0.012   0.011   11.46   0.35   0.35  
 2283124  1529.     130.     85.     373.    42.    29.   0.045  0.055  0.030  2.33  0.39  0.35  2455660.    140.    140.   0.0238  0.0085  0.0069   5.31   0.41   0.40  
 2570760  1549.      47.     47.     287.0    6.1    6.3  0.428  0.029  0.028  5.453 0.043 0.048 2455794.     55.     54.   0.01058 0.00093 0.00095  3.65   0.12   0.11  
 2579147  1576.      55.     42.     122.5    7.8    5.8  0.0037 0.0047 0.0025 1.567 0.110 0.082 2455977.     63.     61.   0.00079 0.00016 0.00013  1.694  0.065  0.070 
 2714707   540.3      2.3     2.4    173.4    3.6    3.6  0.104  0.048  0.047  5.45  0.35  0.31  2455323.     32.     27.   0.0192  0.0012  0.0012   6.96   0.12   0.10  
 2974815  1068.6      6.4     6.4    262.9    3.0    3.0  0.142  0.022  0.021  3.91  0.12  0.17  2455450.     21.     28.   0.01709 0.00062 0.00062  5.311  0.054  0.052 
 2988145   793.0      1.4     1.5    462.8    3.1    3.1  0.315  0.011  0.010  6.273 0.038 0.043 2455585.3     5.9     5.9  0.1692  0.0035  0.0034  12.076  0.078  0.077 
 2994888  1120.      13.     11.     225.0    3.3    3.2  0.16   0.026  0.028  2.92  0.11  0.12  2455160.     24.     25.   0.00976 0.00047 0.00047  4.325  0.061  0.059 
 3223460  1040.      21.     16.     256.0    5.4    5.4  0.176  0.042  0.041  0.4   0.12  0.13  2455590.     28.     30.   0.0167  0.0012  0.0012   5.28   0.12   0.11  
 3346195   400.26     0.60    0.59   241.0    3.8    3.7  0.654  0.023  0.023  5.057 0.030 0.033 2455309.7     1.9     2.0  0.0938  0.0044  0.0044   9.94   0.25   0.24  
 3426991  1075.9      4.8     4.7    216.4    1.9    1.9  0.273  0.015  0.014  0.373 0.055 0.060 2455476.9     9.8    10.0  0.0094  0.00026 0.00026  4.218  0.037  0.036 
 3542566   909.7      1.8     1.8    259.0    1.5    1.5  0.1935 0.0100 0.0099 5.48  0.048 0.092 2455711.3     7.8    14.0  0.0226  0.0004  0.0004   6.091  0.031  0.030 
 3546765   539.2      1.3     1.3    168.6    2.2    2.1  0.017  0.018  0.011  5.53  0.83  1.20  2455211.     72.    100.   0.01771 0.00068 0.00068  6.818  0.056  0.054 
 3641023   358.9      1.2     1.2     44.5    1.0    1.0  0.045  0.044  0.030  4.2   0.89  1.30  2455158.     50.     76.   0.00073 0.00005 0.00005  2.699  0.043  0.037 
 3650057   810.7      2.1     2.2    207.5    1.5    1.4  0.09   0.013  0.013  3.98  0.14  0.12  2455099.     18.     15.   0.01458 0.00032 0.00030  5.557  0.029  0.030 
 3655115   300.76     0.49    0.47   255.3    5.2    5.1  0.457  0.032  0.033  2.314 0.060 0.077 2455000.4     2.8     3.1  0.197   0.012   0.012   16.46   0.38   0.37  
 3655513   274.6      0.74    0.75   208.8    7.6    7.2  0.528  0.051  0.052  2.18  0.11  0.12  2455004.3     5.4     4.9  0.13    0.014   0.013   14.08   0.61   0.59  
 3749833  1051.4      4.8     4.9    201.8    2.2    2.2  0.147  0.021  0.021  3.651 0.200 0.097 2455437.     33.     17.   0.00798 0.00027 0.00027  4.139  0.039  0.038 
